Model, ProductionYear,NumberofEngines,EngineType,Capacity,Range(km),FuelConsumption(L/h),HourlyMaintenance($),Age,SalesRegion,Price($)
Bombardier CRJ200,2015,2,Turbofan,50,3000,4.1,1803.88,8,Europe,22142984.74
Bombardier CRJ200,2000,2,Turbofan,50,3000,4.43,4116.52,23,Asia,13469724.32
Airbus A320,1982,2,Turbofan,180,6300,9.01,4516.52,41,North America,72859502.28
Airbus A350,1997,2,Turbofan,350,14800,7.55,1525.71,26,Asia,360117097.64
Airbus A320,2016,2,Turbofan,180,6300,13.19,4181.07,7,Australia,134849581.51
Boeing 777,1993,2,Turbofan,396,15600,4.89,2378.35,30,Australia,388254065.98
Airbus A350,2005,2,Turbofan,350,14800,6.39,1039.39,18,Australia,468878805.55
Airbus A350,1989,2,Turbofan,350,14800,11.14,2834.56,34,North America,387359980.08
Airbus A320,1995,2,Turbofan,180,6300,14.63,2136.33,28,Australia,63325195.66
Cessna 172,2014,1,Piston,4,1285,11.48,1781.78,9,North America,349541.06
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.53,3243.04,6,Africa,20843194.48
Cessna 172,2005,1,Piston,4,1285,29.58,1152.03,18,North America,281786.25
Airbus A320,1988,2,Turbofan,180,6300,5.15,4935.43,35,South America,87316106.71
Airbus A350,1985,2,Turbofan,350,14800,11.47,1569.37,38,Asia,400312207.5
Boeing 737,1989,2,Turbofan,162,5700,10.22,2155.02,34,Australia,67183903.98
Airbus A320,2023,2,Turbofan,180,6300,12.86,906.3,0,Africa,191050892.95
Cessna 172,1984,1,Piston,4,1285,17.46,1943.51,39,Africa,215830.96
Airbus A350,2018,2,Turbofan,350,14800,2.22,3549.04,5,Africa,636428287.19
Cessna 172,1996,1,Piston,4,1285,19.06,2804.42,27,South America,190999.82
Boeing 737,2023,2,Turbofan,162,5700,7.03,3609.22,0,Australia,132930259.08
Boeing 737,2023,2,Turbofan,162,5700,3.79,4715.28,0,South America,116978442.29
Boeing 777,2021,2,Turbofan,396,15600,13.41,4661.12,2,North America,738770404.75
Boeing 737,1998,2,Turbofan,162,5700,10.58,1660.74,25,Africa,64903179.49
Airbus A320,2009,2,Turbofan,180,6300,5.14,2883.43,14,Asia,127589373.69
Bombardier CRJ200,1996,2,Turbofan,50,3000,13.66,918.96,27,South America,12388808.47
Airbus A320,2012,2,Turbofan,180,6300,6.54,2025.63,11,Asia,131800157.55
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.66,3766.8,24,Australia,12872568.92
Cessna 172,2018,1,Piston,4,1285,13.37,3389.14,5,Europe,397989.08
Airbus A320,2003,2,Turbofan,180,6300,13.68,1227.33,20,Europe,96788868.97
Cessna 172,2013,1,Piston,4,1285,16.43,522.78,10,Asia,317496.98
Cessna 172,2000,1,Piston,4,1285,37.68,2969.3,23,Africa,203302.52
Boeing 737,1987,2,Turbofan,162,5700,5.08,3704.81,36,North America,67626196.15
Boeing 777,1995,2,Turbofan,396,15600,11.7,1964.3,28,Asia,435882785.22
Airbus A320,2016,2,Turbofan,180,6300,9.39,3459.26,7,Asia,140344150.66
Boeing 737,2011,2,Turbofan,162,5700,6.78,921.54,12,Asia,87878634.15
Cessna 172,1988,1,Piston,4,1285,25.72,4878.55,35,Europe,196267.42
Bombardier CRJ200,2010,2,Turbofan,50,3000,10.2,4514.21,13,South America,17894235.68
Airbus A320,1996,2,Turbofan,180,6300,8.4,3096.07,27,South America,89750866.58
Cessna 172,2007,1,Piston,4,1285,38.9,1378.59,16,Europe,259510.14
Cessna 172,1992,1,Piston,4,1285,48.16,4732.06,31,Australia,224011.9
Boeing 777,2005,2,Turbofan,396,15600,6.81,4616.89,18,Australia,532986648.75
Bombardier CRJ200,2003,2,Turbofan,50,3000,13.09,4836.29,20,Africa,14384470.91
Cessna 172,2008,1,Piston,4,1285,25.4,1825.02,15,Asia,285823.04
Airbus A320,1994,2,Turbofan,180,6300,9.24,1262.72,29,Asia,85071663.75
Boeing 777,1981,2,Turbofan,396,15600,11.05,4712.7,42,South America,362440325.34
Cessna 172,1994,1,Piston,4,1285,49.6,3267.53,29,South America,216986.53
Airbus A320,1980,2,Turbofan,180,6300,8.74,1130.38,43,Asia,81164502.17
Bombardier CRJ200,2020,2,Turbofan,50,3000,11.13,3636.57,3,Asia,23974036.95
Airbus A320,1984,2,Turbofan,180,6300,5.82,2117.71,39,Asia,82396710.13
Boeing 777,1984,2,Turbofan,396,15600,13.87,4401.83,39,South America,418007942.94
Airbus A320,1997,2,Turbofan,180,6300,8.52,2801.04,26,Australia,82834396.57
Airbus A350,1993,2,Turbofan,350,14800,12.35,3658.85,30,South America,414595482.47
Airbus A320,2016,2,Turbofan,180,6300,6.39,4505.02,7,South America,124364472.6
Airbus A350,1995,2,Turbofan,350,14800,2.47,3102.26,28,Africa,363499352.52
Airbus A350,1992,2,Turbofan,350,14800,9.05,2595.19,31,Asia,397867099.22
Boeing 737,2022,2,Turbofan,162,5700,2.49,637.25,1,Africa,104321929.88
Boeing 777,2007,2,Turbofan,396,15600,6.68,4201.7,16,Africa,544185572.19
Airbus A350,1983,2,Turbofan,350,14800,4.81,3964.97,40,Australia,332190283.64
Bombardier CRJ200,2021,2,Turbofan,50,3000,3.11,3303.01,2,Asia,23289653.75
Boeing 737,2005,2,Turbofan,162,5700,10.29,2932.86,18,Australia,75935599.5
Boeing 777,1986,2,Turbofan,396,15600,14.69,3767.41,37,Europe,317065019.03
Airbus A320,1992,2,Turbofan,180,6300,5.52,4078.34,31,South America,79821921.86
Airbus A350,1988,2,Turbofan,350,14800,3.02,2475.37,35,Africa,391118009.63
Airbus A320,1997,2,Turbofan,180,6300,4.25,2340.29,26,Africa,85144981.29
Airbus A320,1984,2,Turbofan,180,6300,5.25,1203.97,39,Africa,92195099.49
Cessna 172,1986,1,Piston,4,1285,21.2,3470.89,37,Asia,222355.92
Bombardier CRJ200,2014,2,Turbofan,50,3000,11.59,4796.89,9,Asia,24005505.92
Boeing 737,1995,2,Turbofan,162,5700,5.22,2388.2,28,Europe,70011721.15
Airbus A350,2011,2,Turbofan,350,14800,11.85,2101.88,12,Africa,591037757.01
Airbus A320,2005,2,Turbofan,180,6300,3.27,2633.78,18,Asia,108071613.81
Airbus A320,2004,2,Turbofan,180,6300,8.16,2712.27,19,Asia,94713313.58
Airbus A350,1996,2,Turbofan,350,14800,10.01,2293.27,27,Africa,325859473.29
Boeing 777,2007,2,Turbofan,396,15600,2.59,3357.92,16,Australia,618640959.87
Bombardier CRJ200,2015,2,Turbofan,50,3000,13.13,2764.11,8,Australia,17373210.04
Bombardier CRJ200,2011,2,Turbofan,50,3000,4.12,3464.12,12,Europe,18719354.17
Airbus A320,1998,2,Turbofan,180,6300,9.62,619.3,25,Europe,73657499.53
Boeing 737,2017,2,Turbofan,162,5700,9.48,4731.04,6,Australia,129403197.62
Cessna 172,1983,1,Piston,4,1285,31.82,2562.14,40,Australia,187249.11
Boeing 777,1983,2,Turbofan,396,15600,7.02,4736.59,40,Asia,408752497.16
Cessna 172,2010,1,Piston,4,1285,22.76,820.35,13,South America,296583.45
Cessna 172,1990,1,Piston,4,1285,10.93,4301.94,33,Asia,201106.59
Cessna 172,1985,1,Piston,4,1285,37.87,1031.74,38,Europe,231857.52
Boeing 737,2018,2,Turbofan,162,5700,13.41,3330.24,5,Asia,123512626.17
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.31,1769.16,28,Africa,12835276.83
Boeing 737,2016,2,Turbofan,162,5700,12.49,3877.77,7,Europe,108922584.58
Cessna 172,2018,1,Piston,4,1285,41.06,2174.08,5,Asia,389175.66
Cessna 172,1985,1,Piston,4,1285,47.23,2033.62,38,Africa,209049.52
Bombardier CRJ200,2017,2,Turbofan,50,3000,11.81,3878.92,6,South America,23587120.57
Cessna 172,2000,1,Piston,4,1285,46.1,964.06,23,North America,260927.64
Airbus A320,2022,2,Turbofan,180,6300,13.64,1940.22,1,Australia,153909858.26
Boeing 777,1995,2,Turbofan,396,15600,2.14,2251.41,28,North America,410469031.78
Airbus A350,1988,2,Turbofan,350,14800,9.45,4777.73,35,Australia,367471059.35
Bombardier CRJ200,1999,2,Turbofan,50,3000,7.83,3343.27,24,Africa,11294643.37
Boeing 777,1984,2,Turbofan,396,15600,11.78,3526.33,39,Asia,349306992.0
Airbus A350,2019,2,Turbofan,350,14800,12.27,4062.11,4,South America,684223379.69
Boeing 737,1984,2,Turbofan,162,5700,9.14,759.01,39,South America,57765773.43
Airbus A320,2012,2,Turbofan,180,6300,13.54,2486.89,11,North America,112151806.73
Airbus A320,2002,2,Turbofan,180,6300,11.9,1143.46,21,Asia,87977234.14
Airbus A320,2003,2,Turbofan,180,6300,3.31,3281.98,20,North America,96336514.65
Airbus A320,2008,2,Turbofan,180,6300,12.68,827.43,15,South America,104143760.26
Bombardier CRJ200,1999,2,Turbofan,50,3000,3.06,3678.09,24,South America,10739495.68
Bombardier CRJ200,2013,2,Turbofan,50,3000,14.31,4157.6,10,Asia,16600779.99
Bombardier CRJ200,2015,2,Turbofan,50,3000,11.79,4937.0,8,North America,18828564.05
Bombardier CRJ200,1986,2,Turbofan,50,3000,9.26,3997.16,37,Europe,11817262.56
Boeing 777,1987,2,Turbofan,396,15600,13.78,2409.0,36,Asia,396824752.08
Bombardier CRJ200,2015,2,Turbofan,50,3000,8.09,551.09,8,Europe,18252268.93
Boeing 777,1998,2,Turbofan,396,15600,3.54,753.36,25,South America,410411470.34
Airbus A320,2001,2,Turbofan,180,6300,9.58,3857.2,22,Europe,80504029.77
Bombardier CRJ200,2020,2,Turbofan,50,3000,6.87,4829.78,3,North America,24267695.88
Cessna 172,2011,1,Piston,4,1285,48.53,1506.18,12,North America,311793.44
Boeing 737,1985,2,Turbofan,162,5700,14.61,554.7,38,Australia,64881809.73
Airbus A350,1997,2,Turbofan,350,14800,9.2,832.08,26,Asia,372785335.86
Boeing 737,2001,2,Turbofan,162,5700,8.8,4861.86,22,Europe,81388879.52
Bombardier CRJ200,1996,2,Turbofan,50,3000,10.16,2545.43,27,Europe,13233319.52
Bombardier CRJ200,2008,2,Turbofan,50,3000,13.72,3129.41,15,South America,20606861.86
Bombardier CRJ200,2007,2,Turbofan,50,3000,4.45,1748.22,16,South America,15094612.56
Boeing 737,1987,2,Turbofan,162,5700,6.59,2586.64,36,Asia,58642290.01
Bombardier CRJ200,1989,2,Turbofan,50,3000,14.82,4884.78,34,South America,12256600.5
Boeing 737,2003,2,Turbofan,162,5700,8.97,3641.73,20,South America,83389306.25
Cessna 172,1989,1,Piston,4,1285,16.5,3581.29,34,Africa,201372.89
Airbus A320,1982,2,Turbofan,180,6300,12.69,4599.17,41,North America,68015390.37
Boeing 777,1982,2,Turbofan,396,15600,13.26,4697.28,41,North America,470396084.13
Airbus A320,2023,2,Turbofan,180,6300,2.34,703.48,0,Europe,175206086.08
Bombardier CRJ200,1986,2,Turbofan,50,3000,3.96,4942.74,37,North America,11508470.4
Cessna 172,2006,1,Piston,4,1285,25.24,3173.59,17,South America,278854.84
Bombardier CRJ200,1989,2,Turbofan,50,3000,5.55,2366.69,34,Europe,13569663.2
Airbus A320,1991,2,Turbofan,180,6300,13.24,753.69,32,Africa,78401940.08
Boeing 737,1991,2,Turbofan,162,5700,14.28,3960.44,32,Australia,63757862.56
Boeing 777,2006,2,Turbofan,396,15600,5.22,4323.41,17,Australia,468777225.26
Bombardier CRJ200,1995,2,Turbofan,50,3000,9.88,4793.23,28,North America,11903076.77
Airbus A320,1986,2,Turbofan,180,6300,10.73,1528.89,37,Africa,66339400.96
Boeing 737,2010,2,Turbofan,162,5700,10.73,1011.01,13,Europe,105920383.92
Airbus A320,2009,2,Turbofan,180,6300,12.04,2841.38,14,North America,126146769.08
Boeing 777,1994,2,Turbofan,396,15600,9.29,2983.58,29,Europe,400265205.19
Boeing 737,2022,2,Turbofan,162,5700,7.25,4444.94,1,Europe,132408315.54
Airbus A350,2001,2,Turbofan,350,14800,4.77,3668.36,22,North America,474065660.46
Boeing 737,1997,2,Turbofan,162,5700,2.19,1113.67,26,North America,70176457.69
Bombardier CRJ200,2012,2,Turbofan,50,3000,7.69,2265.1,11,Africa,15524062.43
Bombardier CRJ200,2014,2,Turbofan,50,3000,6.53,4568.71,9,North America,22778117.67
Boeing 737,1987,2,Turbofan,162,5700,10.09,2284.44,36,North America,63929928.44
Airbus A320,2017,2,Turbofan,180,6300,14.34,4380.64,6,North America,114422880.74
Boeing 737,1986,2,Turbofan,162,5700,14.74,2566.11,37,South America,63107220.83
Airbus A350,2002,2,Turbofan,350,14800,6.27,2716.78,21,Australia,375548779.82
Boeing 777,2007,2,Turbofan,396,15600,3.68,841.38,16,South America,576919744.89
Cessna 172,1987,1,Piston,4,1285,16.08,1076.21,36,Africa,221535.66
Cessna 172,1992,1,Piston,4,1285,23.83,1318.46,31,North America,193616.04
Boeing 737,2007,2,Turbofan,162,5700,8.16,4535.55,16,Asia,77797895.08
Cessna 172,2014,1,Piston,4,1285,11.63,1365.3,9,Australia,368135.63
Bombardier CRJ200,2022,2,Turbofan,50,3000,5.62,1260.21,1,Europe,23413691.25
Boeing 777,2007,2,Turbofan,396,15600,6.74,1428.5,16,Asia,484733311.98
Bombardier CRJ200,2001,2,Turbofan,50,3000,10.98,2765.38,22,South America,12577691.22
Boeing 777,2022,2,Turbofan,396,15600,13.97,4431.1,1,Asia,795932931.6
Bombardier CRJ200,1999,2,Turbofan,50,3000,5.6,774.85,24,South America,13329270.54
Boeing 777,2022,2,Turbofan,396,15600,4.72,1330.34,1,Africa,838287790.19
Boeing 777,2005,2,Turbofan,396,15600,8.3,2167.12,18,Australia,431794832.04
Boeing 777,2015,2,Turbofan,396,15600,11.72,2581.41,8,Europe,759234162.08
Airbus A320,2006,2,Turbofan,180,6300,5.28,665.07,17,Australia,109400015.17
Airbus A350,2023,2,Turbofan,350,14800,8.92,2802.55,0,Australia,767809713.63
Airbus A320,2019,2,Turbofan,180,6300,7.82,982.27,4,South America,121021584.16
Boeing 777,2005,2,Turbofan,396,15600,6.9,1711.59,18,South America,519257758.1
Boeing 737,1999,2,Turbofan,162,5700,6.19,590.32,24,North America,61730854.91
Airbus A320,2007,2,Turbofan,180,6300,13.58,1038.93,16,South America,95044617.16
Cessna 172,2021,1,Piston,4,1285,37.16,3171.17,2,North America,409979.57
Airbus A350,2008,2,Turbofan,350,14800,8.98,891.14,15,Africa,598384167.08
Bombardier CRJ200,1993,2,Turbofan,50,3000,11.69,3140.79,30,South America,10822525.27
Airbus A350,1990,2,Turbofan,350,14800,6.72,1776.99,33,Australia,365229876.96
Boeing 737,1998,2,Turbofan,162,5700,9.42,3406.63,25,South America,54584453.64
Bombardier CRJ200,2020,2,Turbofan,50,3000,3.99,958.02,3,South America,23978996.46
Boeing 777,1985,2,Turbofan,396,15600,4.09,1606.81,38,Europe,374028354.97
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.66,1280.18,24,Europe,11473000.39
Airbus A320,1989,2,Turbofan,180,6300,8.82,861.05,34,Asia,80480172.68
Boeing 737,1995,2,Turbofan,162,5700,7.17,1004.18,28,Africa,63140915.34
Cessna 172,1984,1,Piston,4,1285,44.62,4862.62,39,Africa,201375.72
Airbus A350,2020,2,Turbofan,350,14800,10.69,1268.99,3,South America,752829008.06
Airbus A320,2004,2,Turbofan,180,6300,9.24,4682.19,19,Africa,80946267.91
Airbus A350,1995,2,Turbofan,350,14800,4.43,3962.72,28,Europe,392546696.51
Bombardier CRJ200,1980,2,Turbofan,50,3000,7.53,1956.56,43,Asia,10109742.51
Airbus A350,1994,2,Turbofan,350,14800,9.94,1016.77,29,Europe,374106781.9
Bombardier CRJ200,2013,2,Turbofan,50,3000,9.56,1798.84,10,Africa,19192333.83
Boeing 737,2015,2,Turbofan,162,5700,2.67,2896.65,8,Europe,93701411.16
Boeing 737,2009,2,Turbofan,162,5700,3.75,2014.72,14,Europe,100577709.35
Airbus A350,2022,2,Turbofan,350,14800,10.86,1645.88,1,South America,687642213.1
Cessna 172,2018,1,Piston,4,1285,33.83,3921.03,5,North America,289587.62
Airbus A350,2019,2,Turbofan,350,14800,14.08,2069.91,4,Australia,630470065.56
Cessna 172,2007,1,Piston,4,1285,48.6,4237.79,16,South America,301420.66
Airbus A350,1990,2,Turbofan,350,14800,4.36,4722.53,33,Australia,349829134.92
Airbus A350,2008,2,Turbofan,350,14800,11.63,799.23,15,North America,582112934.19
Airbus A320,2020,2,Turbofan,180,6300,12.34,1128.98,3,North America,151066485.11
Cessna 172,2011,1,Piston,4,1285,16.55,1407.32,12,Australia,337638.96
Airbus A320,1997,2,Turbofan,180,6300,8.8,3493.39,26,Africa,75061979.82
Boeing 737,1998,2,Turbofan,162,5700,13.4,2114.74,25,Europe,71082595.52
Boeing 777,2001,2,Turbofan,396,15600,6.9,2476.11,22,North America,427119287.47
Cessna 172,1985,1,Piston,4,1285,22.06,2582.06,38,Europe,214095.0
Airbus A320,1994,2,Turbofan,180,6300,13.69,1544.96,29,Africa,91497555.28
Bombardier CRJ200,1989,2,Turbofan,50,3000,9.07,2227.51,34,Australia,12359504.58
Airbus A320,1984,2,Turbofan,180,6300,14.22,1026.04,39,Africa,84401415.18
Airbus A350,2001,2,Turbofan,350,14800,6.35,3324.69,22,South America,431109593.34
Airbus A350,2006,2,Turbofan,350,14800,8.93,3290.33,17,Asia,471048132.38
Airbus A320,2006,2,Turbofan,180,6300,12.25,4522.52,17,Africa,98684861.81
Cessna 172,1981,1,Piston,4,1285,39.76,1618.2,42,South America,195540.11
Airbus A350,2010,2,Turbofan,350,14800,9.41,650.9,13,Asia,577421569.66
Boeing 777,1999,2,Turbofan,396,15600,12.68,2039.37,24,Africa,427280427.26
Airbus A350,2014,2,Turbofan,350,14800,13.0,997.84,9,Australia,594120521.82
Bombardier CRJ200,2014,2,Turbofan,50,3000,3.95,4087.83,9,South America,17864754.21
Airbus A320,2011,2,Turbofan,180,6300,11.39,1531.63,12,Europe,129466236.98
Boeing 777,2007,2,Turbofan,396,15600,9.06,3622.77,16,Africa,614010567.48
Boeing 737,2004,2,Turbofan,162,5700,6.49,1633.1,19,North America,64693298.87
Bombardier CRJ200,2023,2,Turbofan,50,3000,14.31,2579.03,0,Africa,27762947.01
Bombardier CRJ200,1990,2,Turbofan,50,3000,9.62,1190.08,33,Africa,15028245.52
Airbus A320,2019,2,Turbofan,180,6300,13.34,581.5,4,South America,146047126.22
Boeing 737,2005,2,Turbofan,162,5700,9.35,4694.53,18,South America,85135611.34
Cessna 172,2022,1,Piston,4,1285,16.1,3682.57,1,Asia,428232.23
Boeing 737,2021,2,Turbofan,162,5700,9.89,3093.3,2,Africa,141254483.56
Airbus A320,2009,2,Turbofan,180,6300,14.03,4704.65,14,Europe,107071085.53
Boeing 737,1996,2,Turbofan,162,5700,3.47,2528.78,27,Africa,63813353.76
Boeing 777,1993,2,Turbofan,396,15600,7.19,3160.74,30,Africa,441083753.93
Boeing 777,2001,2,Turbofan,396,15600,6.36,746.43,22,Africa,400222450.07
Boeing 777,2006,2,Turbofan,396,15600,13.96,2918.28,17,North America,437958676.39
Boeing 737,2010,2,Turbofan,162,5700,6.51,2058.56,13,Asia,90766689.91
Bombardier CRJ200,2014,2,Turbofan,50,3000,7.88,1510.72,9,Asia,23108163.33
Boeing 777,1994,2,Turbofan,396,15600,4.29,1133.86,29,Australia,290357765.1
Boeing 737,2021,2,Turbofan,162,5700,6.71,4616.81,2,Asia,121181128.84
Boeing 737,1995,2,Turbofan,162,5700,10.22,3112.65,28,Europe,61753364.76
Boeing 737,2019,2,Turbofan,162,5700,14.96,884.07,4,Europe,103845445.3
Airbus A320,1988,2,Turbofan,180,6300,9.74,2759.88,35,Africa,78470001.12
Bombardier CRJ200,1987,2,Turbofan,50,3000,13.67,1444.58,36,South America,12045868.96
Airbus A320,2009,2,Turbofan,180,6300,4.48,1423.13,14,Australia,112470037.33
Boeing 777,2003,2,Turbofan,396,15600,2.85,3041.79,20,Europe,451170329.37
Cessna 172,2018,1,Piston,4,1285,28.13,3989.87,5,Australia,282689.65
Bombardier CRJ200,1987,2,Turbofan,50,3000,9.28,2303.43,36,Europe,13392994.52
Boeing 777,1986,2,Turbofan,396,15600,4.37,1198.58,37,South America,341620837.44
Boeing 737,1999,2,Turbofan,162,5700,7.31,3398.0,24,South America,60864670.56
Bombardier CRJ200,2004,2,Turbofan,50,3000,4.03,614.24,19,Africa,16373991.26
Bombardier CRJ200,1992,2,Turbofan,50,3000,4.89,621.93,31,Asia,13610402.78
Cessna 172,2020,1,Piston,4,1285,36.88,1539.84,3,Europe,380685.58
Boeing 737,1999,2,Turbofan,162,5700,5.1,3437.36,24,Australia,69227893.81
Cessna 172,1987,1,Piston,4,1285,19.73,947.49,36,South America,228894.71
Boeing 737,2002,2,Turbofan,162,5700,7.16,4235.99,21,South America,76883649.0
Airbus A350,2022,2,Turbofan,350,14800,4.66,3506.38,1,North America,773021331.36
Boeing 737,2012,2,Turbofan,162,5700,3.11,558.51,11,Australia,95932748.82
Boeing 777,1980,2,Turbofan,396,15600,2.34,1435.49,43,Africa,410547222.79
Airbus A350,1986,2,Turbofan,350,14800,13.6,2396.41,37,Africa,325735477.21
Boeing 777,2020,2,Turbofan,396,15600,6.44,4178.5,3,Africa,694805600.74
Bombardier CRJ200,1989,2,Turbofan,50,3000,5.48,3156.33,34,Africa,10374282.98
Airbus A320,2013,2,Turbofan,180,6300,7.32,3308.67,10,Australia,99274678.71
Boeing 777,2019,2,Turbofan,396,15600,14.33,1825.1,4,South America,855652712.33
Airbus A350,2009,2,Turbofan,350,14800,3.82,3936.23,14,Africa,534118029.02
Bombardier CRJ200,2017,2,Turbofan,50,3000,12.4,4525.49,6,North America,23596737.16
Boeing 777,1995,2,Turbofan,396,15600,2.29,2413.46,28,Asia,409818407.35
Boeing 777,2008,2,Turbofan,396,15600,5.35,3350.65,15,Europe,461422903.52
Airbus A350,2016,2,Turbofan,350,14800,12.85,1127.1,7,South America,641564860.28
Bombardier CRJ200,2004,2,Turbofan,50,3000,5.54,1272.56,19,North America,15493434.09
Boeing 737,2011,2,Turbofan,162,5700,13.89,582.76,12,North America,98347881.48
Airbus A320,2011,2,Turbofan,180,6300,9.2,1733.25,12,Europe,107455241.38
Boeing 777,1996,2,Turbofan,396,15600,12.79,3431.39,27,North America,407760050.66
Boeing 777,2018,2,Turbofan,396,15600,10.65,3202.33,5,Australia,785971272.16
Boeing 777,2015,2,Turbofan,396,15600,13.89,1289.17,8,Asia,544977174.07
Cessna 172,1992,1,Piston,4,1285,11.88,2835.13,31,Asia,186356.66
Airbus A320,2006,2,Turbofan,180,6300,11.59,1248.28,17,Africa,105368168.72
Cessna 172,1995,1,Piston,4,1285,25.57,1604.07,28,Australia,197558.76
Airbus A350,2021,2,Turbofan,350,14800,6.62,1799.12,2,Australia,645087606.91
Airbus A350,2008,2,Turbofan,350,14800,8.19,3048.82,15,Asia,576163451.64
Boeing 737,1998,2,Turbofan,162,5700,14.18,3486.52,25,Europe,58012610.13
Airbus A350,1995,2,Turbofan,350,14800,5.41,640.32,28,North America,398390192.32
Bombardier CRJ200,2017,2,Turbofan,50,3000,2.67,3177.85,6,North America,26692691.66
Airbus A350,2015,2,Turbofan,350,14800,12.02,2004.1,8,South America,619483252.81
Boeing 777,2007,2,Turbofan,396,15600,2.98,979.69,16,Australia,538818025.72
Cessna 172,2001,1,Piston,4,1285,27.39,3597.81,22,North America,281728.9
Bombardier CRJ200,2009,2,Turbofan,50,3000,12.65,1608.81,14,North America,18487630.58
Boeing 777,1996,2,Turbofan,396,15600,9.67,1724.65,27,Europe,436247697.61
Boeing 737,1992,2,Turbofan,162,5700,3.19,2124.38,31,North America,62987372.51
Boeing 737,2014,2,Turbofan,162,5700,9.04,1333.1,9,Australia,110533528.62
Airbus A320,1992,2,Turbofan,180,6300,11.52,4428.26,31,Europe,82747415.53
Bombardier CRJ200,2010,2,Turbofan,50,3000,13.04,3615.24,13,North America,19802463.23
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.36,1623.51,6,South America,22165024.64
Cessna 172,1998,1,Piston,4,1285,32.72,1312.59,25,Asia,218139.71
Airbus A320,1998,2,Turbofan,180,6300,2.44,4619.7,25,Europe,69889599.06
Boeing 777,1991,2,Turbofan,396,15600,14.62,4659.78,32,North America,439452135.4
Boeing 737,2014,2,Turbofan,162,5700,8.16,4749.2,9,Europe,104368669.52
Boeing 777,1982,2,Turbofan,396,15600,12.78,1935.95,41,Asia,398763846.97
Cessna 172,1998,1,Piston,4,1285,33.85,666.53,25,Australia,204416.15
Airbus A320,2020,2,Turbofan,180,6300,11.05,846.29,3,Africa,142763723.81
Boeing 737,1980,2,Turbofan,162,5700,11.42,2029.44,43,South America,62273842.69
Boeing 777,2010,2,Turbofan,396,15600,12.28,2927.71,13,Africa,562544947.36
